Restaurant,Customer,Date,Rating,Review
El Fayoumi Pizza,abulrahman a***,23 February 2022,OK,مطعم سيء جدا جدا جدا و الاكل مش مستوي 👎🏼👎🏼
El Fayoumi Pizza,Ahmed s***,20 February 2022,OK,اسواء تجربه
El Fayoumi Pizza,Ahmed O***,20 February 2022,OK,منصحش حد بيه خالص الاكل اترمه
El Fayoumi Pizza,احمد ع***,14 February 2022,OK,اسوء اكل اكلته قسما بالله قطمة و قطمه من الفطيرتين ورميتهم بعيد لا طعم ولا شكل والاكل بارد ثلج
El Fayoumi Pizza,mina e***,13 February 2022,OK,الاكل طعمه وحش
El Fayoumi Pizza,Soaad K***,10 February 2022,Amazing,جميل
El Fayoumi Pizza,Walid G***,10 February 2022,Good,بصراحة الطعم مش واو بس شغال
El Fayoumi Pizza,Ahmed A***,04 February 2022,OK,الاكل طلبته من خضار نهائي تم تجاهل ملاحظاتي الساندوش محروق بمعني محروق الاكل جاي استغفر الله العظيم ما يتاكلش اقسم بالله رميته ما كملته الصراحه انا انصح عدم الطلب من هذا المطعم
El Fayoumi Pizza,First Name L***,31 January 2022,OK,فاشل وبارد
El Fayoumi Pizza,Ahmed S***,27 January 2022,OK,البترا سيئه جداااا ومطعم لا انصح به
El Fayoumi Pizza,Salem a***,21 January 2022,OK,للامانه وبكل صدق المطعم سئ جدأ الاكل لاطعم ولا ريحه الصراحه ما اكلت منه الا لقمه واستغفرالله رميته ف زباله بسبب المطعم السيئ هذا نصيحه مجرب
El Fayoumi Pizza,Effat M***,18 January 2022,Amazing,ممتاز
El Fayoumi Pizza,Ayat R***,17 January 2022,Good,للاسف لم يتم موانع لعدم التصاق وجه البيتزا بالعلبة و ذلك تسبب في التصاق وجه البيتزا بأكمله في اعلى العلبة
El Fayoumi Pizza,Farah Ahmed ***,17 January 2022,OK,أسوأ اكل اكلتة فعلا مفيش اي طعم و مش حلو ولا جودة اكل حلوة ولا اي حاجة
El Fayoumi Pizza,سالم ر***,12 January 2022,Good,ال
El Fayoumi Pizza,Kamal Elhawary ***,09 January 2022,Good,مطعم مقبول
El Fayoumi Pizza,عوض م***,06 January 2022,OK,الاكل كان سئ جدا جدا جدا و جاي بارد
El Fayoumi Pizza,Ayat R***,30 December 2021,Amazing,فوق الممتاز لكم جزيل الشكر
El Fayoumi Pizza,محمود م***,29 December 2021,Amazing,ممتاز
El Fayoumi Pizza,Passant A***,28 December 2021,Amazing,كان بارد بس اشطا
El Fayoumi Pizza,Abdull A***,25 December 2021,OK,المشلتت كان مش ولا بد تمنيت يكون طعم افضل
El Fayoumi Pizza,Marwa F***,10 December 2021,OK,الاكل اخد وقت طويل جدا على ما وصل و ساندوتش الشاورما كان حشو قليل و مش مغلف كويس
El Fayoumi Pizza,Dina E***,10 December 2021,Good,مش قد كدا
El Fayoumi Pizza,AhMed YoUsef ***,04 December 2021,OK,اسواء مطعم والاكل كان غير المتوقع خالص
El Fayoumi Pizza,Dr. Ahmed S***,30 November 2021,Amazing,ى
Katashi Sushi,donia e***,04 February 2024,Amazing,ممتاز
Katashi Sushi,donia e***,29 January 2024,Amazing,ممتاز
Katashi Sushi,donia e***,28 January 2024,Amazing,ممتاز
Katashi Sushi,Tito Z***,24 January 2024,Amazing,مطعم عالمي
Katashi Sushi,هايدى م***,24 January 2024,Amazing,جميل
Katashi Sushi,donia e***,16 January 2024,Amazing,ميرسى ليكو
Katashi Sushi,هايدى م***,15 January 2024,Amazing,مطعم محترم
Katashi Sushi,donia e***,15 January 2024,Amazing,جميل
Katashi Sushi,Tito Z***,15 January 2024,Amazing,ممتاز مطعم عالمي
Katashi Sushi,هايدى م***,13 January 2024,Amazing,ممتاز
Katashi Sushi,Marwa S***,13 January 2024,OK,المفروض بيجي ٢ صوص و ٢ جنجر مبعوت واحد بس بلس ان الاوردر جه بعد ساعتين إلا و طبعا النودلز بردت
Katashi Sushi,Mohamed Awed Aboennaga ***,09 January 2024,Amazing,ممتاز♥️♥️♥️
Katashi Sushi,هايدى م***,06 January 2024,Amazing,شكرا السوشى فريش
Katashi Sushi,donia e***,03 January 2024,Amazing,من احسن مطاعم السوش
Katashi Sushi,هايدى م***,03 January 2024,Amazing,ممتاز
Katashi Sushi,Asmaa E***,01 January 2024,Very good,الطعم مكنش احسن حاجة
Katashi Sushi,Shereen E***,31 December 2023,OK,بشع بشع بشع
Katashi Sushi,donia e***,28 December 2023,Amazing,شكرا 👌
Katashi Sushi,هايدى م***,27 December 2023,Amazing,السوشى لذيذ
Katashi Sushi,Boda M***,24 December 2023,Amazing,جميل
Katashi Sushi,Boda M***,19 December 2023,Amazing,الكواليتى هايله
Katashi Sushi,donia e***,19 December 2023,Amazing,احلى طعم سوشى 🍣
Katashi Sushi,هايدى م***,19 December 2023,Amazing,مطعم ممتاز ❤️
Katashi Sushi,هايدى م***,18 December 2023,Amazing,السوشى تحفه
Katashi Sushi,هايدى م***,18 December 2023,Amazing,تحفه
Katashi Sushi,donia e***,17 December 2023,Amazing,جميل
Katashi Sushi,Amani Y***,15 December 2023,OK,الطعم سئ جدا و الساشيمي مقدم مع خيار مما جعل الرائحه و المذاق به زفاره غير طبيعيه و الفرايد مزيت
Katashi Sushi,Tito Z***,12 December 2023,Amazing,الجودة رائعه
Katashi Sushi,Tito Z***,11 December 2023,Amazing,المذاق مرة حكايه
Katashi Sushi,donia e***,11 December 2023,Amazing,السعر جيد وطعم رائع وفريش شكرا
Katashi Sushi,هايدى م***,11 December 2023,Amazing,بحب السوشى عندكم 👏
Katashi Sushi,donia e***,10 December 2023,Amazing,مطعم محترم
Katashi Sushi,هايدى م***,10 December 2023,Amazing,السوشى فريش
Katashi Sushi,Tito Z***,04 December 2023,Amazing,اكثر من رائع
Katashi Sushi,Mohamed Awed Aboennaga ***,03 December 2023,Amazing,جميل 🙂
Katashi Sushi,Iam C***,03 December 2023,Good,لقيت حصوه في السوشب كسرت ضرسي.. مفيش سالمون في السبايسي ليمون.. حاطين خيار بدل الافوكادو..والطعم سئ
Katashi Sushi,هايدى م***,01 December 2023,Amazing,ممتاز
Katashi Sushi,donia e***,01 December 2023,Amazing,من احسن مطاعم السوشى شكرا
Katashi Sushi,mai n***,30 November 2023,Good,اسواء سوشي في حياتي بامانه
Katashi Sushi,Tito Z***,29 November 2023,Amazing,الطعم فريش جدا برافو🌹
Katashi Sushi,donia e***,29 November 2023,Amazing,تحفه
Katashi Sushi,Tito Z***,28 November 2023,Amazing,ممتاز🙏👌
Katashi Sushi,donia e***,25 November 2023,Amazing,ممتاز
Katashi Sushi,هايدى م***,23 November 2023,Amazing,تحفه 👌
Katashi Sushi,donia e***,22 November 2023,Amazing,كل مره بيثبت انه اختيار موفق
Sea food chef saber,ajd C***,20 December 2023,Amazing,سمك متبل حلو ، والكميات مناسبة ، ووصل ساخن
Sea food chef saber,Hazem soliman a***,01 November 2023,OK,الطلب وجبتين ووصلت وجبه واحده
Sea food chef saber,اسلام ش***,29 October 2023,Very good,مفيهاش كابوريا
Sea food chef saber,Aziz A***,24 October 2023,OK,بجد عيب الاكل وصل غلط و المصيبة إن طعمه وحش مكونات رخيصة
Al Dahan,abdullah Ahmed A***,03 February 2024,Amazing,ديما مشرفني قدام الناس ❤️❤️❤️❤️
Al Dahan,Fatma A***,02 February 2024,Good,دفعت اكتر ما كان ظهر على التطبيق دفعت اكتر ما كان ظاهر فى التطبيق
Al Dahan,Basheer A***,02 February 2024,OK,الطلبية تأخرت على موعد التوصيل المحدد ساعة و نص و اكلناها باردة بدل ما تكون سخنة
Al Dahan,raghda a***,30 January 2024,OK,الرز كان سيئ جداا و ناشف مفيهوش ريحه اللبن بجد اسوأ تجربه لرز معمر بالحمام و الشوربه كانت بارده جداا الاوردر وصل متاخر جداااا يعني انا طلبت من 4:30 و الاوردر وصل 6:15 و مل ما اكلمهم يقولولي طلع
Al Dahan,Walaa S***,27 January 2024,Amazing,الكواليتي ممتازة ، انصح به.
Al Dahan,tamer o***,26 January 2024,Good,تسمم اصبنا بحالة تسمم جامدة اقل من نص ساعة وكنا بنضيع بجد حاجة منتهى الأحساس بالمسؤلية صدمة
Al Dahan,Abdulrahman A***,25 January 2024,Good,الاكل وصل بارد جدا و غير صالح للاكل ، و تواصلت مع خدمة العملاء مطعم الدهان و لم يقوموا بحل المشكلة
Al Dahan,Walaa S***,24 January 2024,Amazing,احسن مطعم اكل شرقي.
Al Dahan,Nada ***,24 January 2024,Amazing,سلوك مندوب الدليفري رائع
Al Dahan,Karim E***,22 January 2024,Amazing,تحفه 🫵🤎🤎
Al Dahan,nada s***,21 January 2024,Amazing,جيد جدااا و الدليفرى وصل بسرعه
